iter	RMSE
0	0.8570715161
1	0.7047268149
2	0.6249039774
3	0.5834285314
4	0.5617395712
5	0.549691759
6	0.5434706532
7	0.5368947233
8	0.5338119623
9	0.5309131376
10	0.5291062756
11	0.5265438704
12	0.525210619
13	0.522481914
14	0.5207788269
15	0.5195990976
16	0.5178367586
17	0.5167460428
18	0.5156359186
19	0.5149377848
20	0.5136968594
21	0.5126593574
22	0.5115611002
23	0.5103487272
24	0.5093916624
25	0.5085120534
26	0.5076642979
27	0.5068874036
28	0.5056632799
29	0.5046423525
30	0.5042375508
31	0.503645244
32	0.5029206696
33	0.502260631
34	0.5017681012
35	0.5010402669
36	0.5007216446
37	0.5000284633
38	0.4995564592
39	0.4990387337
40	0.4980935139
41	0.4975882001
42	0.4971005593
43	0.4966848276
44	0.4962301551
45	0.4958836939
46	0.4952036053
47	0.4947814132
48	0.4945262744
49	0.4941576658
50	0.4937725397
51	0.4933188824
52	0.4927999823
53	0.4922702515
54	0.4919402834
55	0.4914236814
56	0.4911146425
57	0.4907709292
58	0.4904303017
59	0.49015309
60	0.4896916808
61	0.4893562646
62	0.488945497
63	0.4886409934
64	0.4881176465
65	0.4878581096
66	0.487697743
67	0.4875294277
68	0.4873143235
69	0.486906209
70	0.486655163
71	0.4860532515
72	0.4856620791
73	0.4854844082
74	0.4851545249
75	0.4849087113
76	0.4844300843
77	0.4842030112
78	0.4839415414
79	0.4835850754
80	0.4832929928
81	0.482909034
82	0.4824981948
83	0.4823052868
84	0.4821033982
85	0.4818332925
86	0.4816014316
87	0.481426483
88	0.4812494075
89	0.480764798
90	0.4804707243
91	0.4801768086
92	0.479941016
93	0.4797067472
94	0.4794736695
95	0.4792296201
96	0.4789958226
97	0.4787017594
98	0.4785162937
99	0.4783585422
