iter	Logloss
0	0.6350027795
1	0.5884350333
2	0.5525138004
3	0.5220949652
4	0.4980659609
5	0.4804963005
6	0.4683012523
7	0.4586201373
8	0.4509560264
9	0.4416140817
10	0.4369175359
11	0.4307501008
12	0.4278410044
13	0.4247517099
14	0.4220724612
15	0.4191235175
16	0.4172571166
17	0.4153662898
18	0.4129730032
19	0.4063766219
20	0.4049510861
21	0.403940683
22	0.4022439059
23	0.4020747939
24	0.4019383625
25	0.4003283428
26	0.3991320426
27	0.3984346561
28	0.3969543421
29	0.3969226395
30	0.3968970008
31	0.3963159816
32	0.3960606322
33	0.3948210108
34	0.3948129121
35	0.3938127244
36	0.38932984
37	0.3869917556
38	0.3869900425
39	0.3857228731
40	0.3852619046
41	0.3849457118
42	0.3844388946
43	0.3844383672
44	0.38443794
45	0.3844256436
46	0.3835432581
47	0.3835409406
48	0.3819980705
49	0.3815749387
50	0.3812685085
51	0.3812677629
52	0.3812261911
53	0.3812257008
54	0.3812253036
55	0.3809965661
56	0.3809962502
57	0.380215881
58	0.3782528412
59	0.3765723063
60	0.3765684618
61	0.376554669
62	0.3759629027
63	0.375961599
64	0.3759605418
65	0.3759596858
66	0.3751816441
67	0.3747943487
68	0.3745249725
69	0.3744313174
70	0.3709718756
71	0.3706060834
72	0.3706022126
73	0.3704614901
74	0.3704588534
75	0.369845211
76	0.3697189818
77	0.3692561435
78	0.3692542533
79	0.3683202001
80	0.368318101
81	0.3675927842
82	0.3675878901
83	0.3674686755
84	0.3672119564
85	0.3669351593
86	0.3669341104
87	0.3667810578
88	0.3667776615
89	0.3664087438
90	0.3660570215
91	0.3660564065
92	0.3652052451
93	0.3649195471
94	0.3629363119
95	0.3624961415
96	0.3624942676
97	0.3621666139
98	0.3621651159
99	0.3613688312
100	0.3610799684
101	0.3607470603
102	0.3580216173
103	0.3575625143
104	0.35718179
105	0.357178623
106	0.3560520956
107	0.3547706812
108	0.3534317194
109	0.3518558986
110	0.3515372677
111	0.3512749791
112	0.3488686661
113	0.3481316539
114	0.3461921978
115	0.3451237089
116	0.3441363967
117	0.3426706753
118	0.3409471228
119	0.3404345848
120	0.3395406666
121	0.3389215965
122	0.3376078067
123	0.3369851488
124	0.3364329882
125	0.3357805352
126	0.3348734193
127	0.3345263348
128	0.3339921156
129	0.3334235214
130	0.332428812
131	0.3314143634
132	0.3309237511
133	0.3306005151
134	0.3302767382
135	0.330005658
136	0.3298339963
137	0.3293173744
138	0.3288128131
139	0.3280440672
140	0.3275134307
141	0.327102384
142	0.3270127206
143	0.3268662691
144	0.326628459
145	0.3264003506
146	0.326391992
147	0.3258506207
148	0.3253626451
149	0.3247782265
150	0.3245703056
151	0.3243629605
152	0.3243586113
153	0.3240586984
154	0.3240115264
155	0.3240057958
156	0.324003987
157	0.3239134441
158	0.3239066697
159	0.3235642531
160	0.3234511648
161	0.3230043934
162	0.323002595
163	0.3230009775
164	0.3225230401
165	0.3225177454
166	0.3223608439
167	0.321875781
168	0.3217454692
169	0.3216884823
170	0.3216623223
171	0.3215364228
172	0.3215312643
173	0.3215137786
174	0.3211575224
175	0.3207682824
176	0.3205746531
177	0.3203686555
178	0.3201626748
179	0.3199918542
180	0.3199705178
181	0.3199695297
182	0.3199610398
183	0.319960171
184	0.319935946
185	0.3195857541
186	0.3191718583
187	0.3190722928
188	0.3190679478
189	0.3190460923
190	0.3190316217
191	0.3189704999
192	0.3187382177
193	0.3187194702
194	0.3185356186
195	0.3185186271
196	0.3184979225
197	0.3184820313
198	0.3184781997
199	0.318449228
200	0.3184269279
201	0.3182828233
202	0.3181401802
203	0.3177149573
204	0.3173599242
205	0.3171470081
206	0.317029556
207	0.3170277724
208	0.316590079
209	0.3165713178
210	0.3164158226
211	0.3164028785
212	0.3163865055
213	0.3163787384
214	0.3161021937
215	0.3161015721
216	0.316039463
217	0.3158019282
218	0.3157878647
219	0.3154170318
220	0.3154021024
221	0.3153899199
222	0.3152289121
223	0.3152271123
224	0.3152235319
225	0.315121855
226	0.3150042417
227	0.314123598
228	0.3141133309
229	0.3140811061
230	0.3133546909
231	0.3133546638
232	0.3133442298
233	0.313318614
234	0.3133095617
235	0.3132190844
236	0.3132190288
237	0.3131964819
238	0.3130710305
239	0.3121772438
240	0.3120868408
241	0.3120850557
242	0.3120412265
243	0.3120410948
244	0.3120181069
245	0.3115648018
246	0.3115647524
247	0.3115553857
248	0.3115553815
249	0.3115435304
250	0.3115106377
251	0.3111468054
252	0.3111406333
253	0.3111406323
254	0.3111405878
255	0.3110954614
256	0.3110923714
257	0.3110716279
258	0.3110222107
259	0.3109523519
260	0.3107565707
261	0.310396239
262	0.310207724
263	0.3101948451
264	0.3096503312
265	0.309650205
266	0.3096360133
267	0.3096274622
268	0.3095635504
269	0.3095160825
270	0.3095159657
271	0.3095028263
272	0.3093670926
273	0.3086837211
274	0.3086246218
275	0.3086177442
276	0.3085710013
277	0.3084588803
278	0.3084149809
279	0.3083261644
280	0.308208475
281	0.3082050551
282	0.3081961481
283	0.3081885761
284	0.3081391627
285	0.3081375912
286	0.3081360848
287	0.3081247762
288	0.3081112244
289	0.3075123395
290	0.3074759821
291	0.3073109616
292	0.3073096073
293	0.3073083102
294	0.3071291229
295	0.3071290959
296	0.307035673
297	0.3070356726
298	0.3070319532
299	0.3069034802
