iter	Passed	Remaining
0	2	2588
1	4	2229
2	7	2237
3	9	2225
4	12	2226
5	14	2117
6	16	2116
7	18	2043
8	20	2048
9	23	2059
10	25	2065
11	28	2074
12	30	2063
13	32	2059
14	35	2075
15	37	2074
16	40	2079
17	42	2082
18	44	2074
19	47	2085
20	49	2082
21	51	2063
22	54	2073
23	56	2072
24	59	2069
25	61	2071
26	63	2068
27	66	2059
28	68	2056
29	70	2031
30	71	2008
31	73	2006
32	76	2008
33	78	2012
34	80	1991
35	82	1988
36	85	1988
37	87	1983
38	89	1984
39	92	1985
40	94	1988
41	97	1988
42	99	1992
43	101	1982
44	103	1967
45	105	1964
46	108	1966
47	110	1964
48	113	1967
49	115	1963
50	117	1958
51	119	1950
52	122	1952
53	123	1937
54	125	1924
55	127	1924
56	129	1914
57	131	1915
58	134	1919
59	137	1920
60	139	1921
61	142	1919
62	144	1922
63	146	1911
64	148	1902
65	149	1892
66	152	1892
67	154	1887
68	156	1890
69	159	1894
70	162	1894
71	164	1891
72	166	1881
73	168	1881
74	170	1873
75	172	1874
76	175	1873
77	177	1866
78	178	1857
79	181	1857
80	182	1847
81	184	1844
82	187	1845
83	189	1841
84	192	1841
85	194	1842
86	196	1834
87	199	1837
88	201	1839
89	204	1838
90	206	1836
91	208	1828
92	210	1828
93	212	1825
94	215	1827
95	218	1826
96	219	1819
97	222	1822
98	224	1815
99	226	1814
100	229	1814
101	231	1813
102	234	1811
103	236	1813
104	239	1813
105	241	1806
106	243	1806
107	246	1804
108	248	1802
109	250	1800
110	253	1799
111	255	1796
112	257	1795
113	260	1795
114	263	1795
115	265	1794
116	268	1794
117	270	1793
118	273	1794
119	276	1794
120	278	1793
121	281	1793
122	283	1794
123	286	1793
124	288	1791
125	291	1790
126	294	1790
127	296	1787
128	298	1786
129	301	1784
130	304	1785
131	306	1786
132	309	1784
133	311	1781
134	314	1781
135	316	1779
136	319	1778
137	321	1777
138	324	1777
139	327	1775
140	329	1775
141	332	1773
142	334	1770
143	337	1770
144	339	1769
145	342	1767
146	344	1766
147	347	1766
148	350	1764
149	352	1762
150	355	1761
151	357	1760
152	360	1759
153	363	1758
154	365	1756
155	367	1755
156	370	1753
157	372	1751
158	375	1749
159	377	1746
160	380	1745
161	382	1743
162	385	1741
163	387	1739
164	390	1738
165	392	1737
166	395	1734
167	397	1733
168	400	1732
169	403	1731
170	405	1729
171	407	1726
172	410	1723
173	412	1721
174	415	1720
175	418	1719
176	420	1717
177	422	1714
178	425	1712
179	427	1710
180	430	1708
181	432	1706
182	435	1704
183	437	1702
184	440	1700
185	442	1699
186	445	1698
187	447	1695
188	450	1693
189	452	1692
190	455	1690
191	457	1687
192	460	1686
193	462	1684
194	465	1681
195	467	1679
196	470	1677
197	472	1675
198	474	1673
199	477	1670
200	479	1668
201	482	1666
202	484	1665
203	487	1664
204	490	1663
205	493	1661
206	495	1659
207	498	1657
208	500	1655
209	503	1653
210	506	1652
211	508	1650
212	511	1648
213	513	1647
214	516	1644
215	518	1641
216	520	1639
217	523	1638
218	526	1636
219	528	1634
220	531	1632
221	534	1632
222	537	1630
223	539	1629
224	542	1627
225	545	1626
226	548	1624
227	551	1624
228	553	1621
229	555	1619
230	558	1616
231	560	1613
232	562	1611
233	565	1610
234	568	1608
235	570	1605
236	572	1602
237	575	1600
238	577	1598
239	580	1596
240	582	1593
241	585	1592
242	588	1589
243	590	1587
244	593	1586
245	595	1583
246	598	1581
247	600	1579
248	602	1576
249	605	1574
250	607	1571
251	610	1569
252	612	1567
253	614	1564
254	617	1562
255	620	1560
256	623	1558
257	626	1558
258	629	1557
259	631	1555
260	634	1553
261	637	1552
262	640	1550
263	642	1548
264	645	1545
265	647	1543
266	650	1541
267	653	1540
268	655	1537
269	658	1535
270	660	1533
271	663	1530
272	665	1529
273	668	1527
274	671	1525
275	673	1523
276	676	1521
277	679	1519
278	681	1517
279	684	1515
280	686	1512
281	689	1510
282	691	1508
283	694	1506
284	696	1503
285	699	1501
286	702	1499
287	704	1497
288	707	1495
289	709	1492
290	711	1489
291	714	1487
292	717	1485
293	719	1483
294	722	1481
295	724	1478
296	727	1476
297	729	1473
298	731	1470
299	734	1468
300	736	1466
301	740	1465
302	742	1462
303	744	1459
304	746	1456
305	749	1454
306	752	1452
307	754	1450
308	757	1448
309	759	1446
310	762	1444
311	765	1442
312	768	1440
313	770	1437
314	773	1435
315	775	1433
316	778	1431
317	781	1429
318	783	1427
319	786	1425
320	788	1422
321	791	1420
322	793	1418
323	796	1415
324	799	1413
325	801	1411
326	804	1410
327	807	1407
328	809	1405
329	812	1403
330	815	1401
331	818	1400
332	822	1400
333	825	1398
334	828	1396
335	831	1395
336	834	1393
337	836	1391
338	839	1388
339	842	1386
340	844	1384
341	847	1382
342	849	1380
343	852	1378
344	855	1376
345	858	1373
346	860	1370
347	862	1368
348	865	1366
349	867	1363
350	870	1361
351	872	1358
352	875	1356
353	877	1353
354	880	1351
355	882	1348
356	884	1345
357	886	1342
358	889	1340
359	892	1338
360	895	1336
361	898	1334
362	900	1332
363	903	1330
364	905	1327
365	908	1325
366	911	1323
367	913	1321
368	916	1318
369	918	1316
370	921	1314
371	924	1312
372	927	1309
373	929	1307
374	932	1305
375	934	1302
376	937	1300
377	939	1297
378	942	1295
379	944	1293
380	947	1290
381	950	1288
382	952	1286
383	955	1283
384	957	1281
385	960	1278
386	962	1276
387	965	1273
388	967	1271
389	970	1268
390	972	1265
391	974	1262
392	977	1260
393	980	1258
394	982	1256
395	985	1253
396	987	1250
397	989	1248
398	992	1245
399	994	1243
400	997	1241
401	999	1238
402	1002	1236
403	1004	1233
404	1007	1231
405	1010	1229
406	1013	1227
407	1015	1224
408	1018	1222
409	1020	1219
410	1023	1217
411	1025	1215
412	1028	1212
413	1031	1210
414	1033	1208
415	1036	1205
416	1038	1203
417	1041	1201
418	1044	1198
419	1046	1196
420	1049	1194
421	1052	1191
422	1055	1189
423	1057	1187
424	1060	1185
425	1063	1183
426	1065	1180
427	1068	1178
428	1070	1175
429	1073	1172
430	1075	1169
431	1077	1167
432	1080	1165
433	1082	1162
434	1085	1160
435	1087	1157
436	1090	1155
437	1093	1153
438	1095	1150
439	1098	1148
440	1101	1146
441	1103	1143
442	1106	1141
443	1109	1139
444	1111	1136
445	1114	1134
446	1117	1132
447	1119	1129
448	1121	1126
449	1124	1124
450	1126	1121
451	1129	1119
452	1131	1116
453	1134	1114
454	1136	1111
455	1139	1109
456	1141	1106
457	1144	1104
458	1147	1102
459	1149	1099
460	1151	1096
461	1154	1094
462	1156	1091
463	1158	1088
464	1161	1086
465	1164	1084
466	1166	1081
467	1169	1079
468	1171	1076
469	1174	1074
470	1177	1072
471	1180	1070
472	1182	1067
473	1185	1065
474	1187	1062
475	1190	1060
476	1193	1058
477	1196	1055
478	1198	1053
479	1201	1051
480	1203	1048
481	1206	1046
482	1209	1043
483	1211	1041
484	1214	1039
485	1217	1036
486	1219	1034
487	1222	1031
488	1225	1029
489	1227	1027
490	1230	1024
491	1232	1022
492	1235	1020
493	1238	1017
494	1240	1015
495	1244	1013
496	1246	1010
497	1249	1008
498	1251	1005
499	1254	1003
500	1256	1001
501	1259	998
502	1262	996
503	1265	994
504	1267	991
505	1270	989
506	1272	986
507	1275	984
508	1278	981
509	1280	979
510	1282	976
511	1285	974
512	1287	971
513	1290	969
514	1293	966
515	1295	964
516	1298	962
517	1301	959
518	1303	957
519	1306	954
520	1309	952
521	1311	949
522	1314	947
523	1316	944
524	1319	942
525	1321	939
526	1324	937
527	1326	934
528	1329	932
529	1331	929
530	1333	926
531	1336	924
532	1338	921
533	1341	919
534	1343	916
535	1345	914
536	1348	911
537	1351	909
538	1353	906
539	1356	904
540	1359	901
541	1361	899
542	1364	897
543	1367	894
544	1369	892
545	1372	889
546	1374	887
547	1377	884
548	1380	882
549	1382	879
550	1385	877
551	1388	875
552	1390	872
553	1393	870
554	1396	867
555	1398	865
556	1401	863
557	1404	860
558	1406	858
559	1409	855
560	1411	852
561	1413	850
562	1416	848
563	1419	845
564	1421	843
565	1424	840
566	1427	838
567	1429	835
568	1432	833
569	1435	830
570	1438	828
571	1440	825
572	1442	823
573	1445	821
574	1447	818
575	1450	815
576	1452	813
577	1455	810
578	1458	808
579	1461	806
580	1463	803
581	1465	800
582	1468	798
583	1471	796
584	1473	793
585	1476	791
586	1479	788
587	1481	786
588	1483	783
589	1486	780
590	1489	778
591	1491	776
592	1494	773
593	1496	771
594	1499	768
595	1502	766
596	1504	763
597	1507	761
598	1509	758
599	1512	756
600	1514	753
601	1516	750
602	1519	748
603	1521	745
604	1524	743
605	1526	740
606	1529	738
607	1531	735
608	1534	733
609	1536	730
610	1539	728
611	1542	725
612	1545	723
613	1547	720
614	1550	718
615	1552	715
616	1555	713
617	1558	711
618	1560	708
619	1563	706
620	1566	703
621	1568	701
622	1571	698
623	1574	696
624	1576	693
625	1579	691
626	1582	689
627	1585	686
628	1587	684
629	1590	681
630	1593	679
631	1595	676
632	1598	674
633	1601	671
634	1603	669
635	1606	666
636	1609	664
637	1611	661
638	1614	659
639	1617	656
640	1619	654
641	1622	651
642	1624	649
643	1627	646
644	1629	644
645	1632	641
646	1635	639
647	1637	636
648	1640	634
649	1642	631
650	1645	629
651	1647	626
652	1650	624
653	1653	621
654	1655	619
655	1658	616
656	1661	614
657	1663	611
658	1665	609
659	1668	606
660	1670	604
661	1673	601
662	1676	599
663	1678	596
664	1681	594
665	1683	591
666	1686	589
667	1688	586
668	1691	584
669	1693	581
670	1696	579
671	1699	576
672	1702	574
673	1704	571
674	1707	569
675	1709	566
676	1711	563
677	1714	561
678	1717	558
679	1719	556
680	1722	553
681	1725	551
682	1727	548
683	1730	546
684	1732	543
685	1735	541
686	1738	538
687	1740	536
688	1743	533
689	1745	531
690	1748	528
691	1750	526
692	1753	523
693	1756	521
694	1759	518
695	1761	516
696	1764	513
697	1766	511
698	1769	508
699	1772	506
700	1774	503
701	1777	501
702	1779	498
703	1782	496
704	1784	493
705	1787	491
706	1789	488
707	1792	486
708	1794	483
709	1797	480
710	1799	478
711	1802	475
712	1804	473
713	1807	470
714	1810	468
715	1812	465
716	1815	463
717	1817	460
718	1820	458
719	1822	455
720	1825	453
721	1827	450
722	1829	447
723	1832	445
724	1835	443
725	1837	440
726	1840	437
727	1842	435
728	1845	432
729	1847	430
730	1850	427
731	1853	425
732	1855	422
733	1858	420
734	1860	417
735	1863	415
736	1866	412
737	1869	410
738	1871	407
739	1874	405
740	1877	402
741	1879	400
742	1881	397
743	1884	395
744	1887	392
745	1889	390
746	1892	387
747	1895	385
748	1898	382
749	1901	380
750	1904	377
751	1906	375
752	1909	372
753	1912	370
754	1914	367
755	1917	365
756	1920	362
757	1922	360
758	1925	357
759	1928	355
760	1930	352
761	1933	350
762	1936	347
763	1938	345
764	1941	342
765	1943	340
766	1946	337
767	1948	334
768	1951	332
769	1954	330
770	1957	327
771	1959	324
772	1962	322
773	1965	319
774	1967	317
775	1970	314
776	1973	312
777	1975	309
778	1978	307
779	1980	304
780	1983	302
781	1986	299
782	1988	297
783	1991	294
784	1993	292
785	1996	289
786	1999	287
787	2002	284
788	2004	282
789	2007	279
790	2009	276
791	2012	274
792	2014	271
793	2017	269
794	2019	266
795	2022	264
796	2024	261
797	2027	259
798	2030	256
799	2033	254
800	2035	251
801	2038	249
802	2040	246
803	2043	243
804	2045	241
805	2048	238
806	2050	236
807	2053	233
808	2056	231
809	2058	228
810	2061	226
811	2064	223
812	2066	221
813	2069	218
814	2072	216
815	2074	213
816	2077	211
817	2080	208
818	2083	206
819	2086	203
820	2088	200
821	2091	198
822	2094	195
823	2096	193
824	2099	190
825	2102	188
826	2104	185
827	2107	183
828	2110	180
829	2112	178
830	2115	175
831	2118	173
832	2120	170
833	2123	168
834	2125	165
835	2128	162
836	2131	160
837	2133	157
838	2136	155
839	2139	152
840	2142	150
841	2144	147
842	2147	145
843	2150	142
844	2152	140
845	2155	137
846	2157	135
847	2160	132
848	2163	129
849	2166	127
850	2168	124
851	2171	122
852	2174	119
853	2176	117
854	2179	114
855	2182	112
856	2185	109
857	2188	107
858	2191	104
859	2193	102
860	2196	99
861	2199	96
862	2201	94
863	2204	91
864	2206	89
865	2209	86
866	2211	84
867	2214	81
868	2217	79
869	2219	76
870	2222	73
871	2225	71
872	2227	68
873	2231	66
874	2233	63
875	2236	61
876	2239	58
877	2241	56
878	2244	53
879	2247	51
880	2250	48
881	2252	45
882	2255	43
883	2258	40
884	2260	38
885	2263	35
886	2266	33
887	2268	30
888	2271	28
889	2273	25
890	2276	22
891	2279	20
892	2282	17
893	2284	15
894	2287	12
895	2290	10
896	2292	7
897	2295	5
898	2297	2
899	2300	0
